Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,latitude,longitude,new_color_1,new_color_2,density
1,1.0,3,1,3,1,1,2,2,2,32.6030469,-96.81266295,9,0,2464.0
1,1.0,3,0,2,0,3,2,0,0,33.22045125,-96.91342228,9,0,2705.3
1,1.0,3,0,2,0,1,2,0,0,29.7205877,-98.06964272,8,0,1364.0
1,1.0,4,0,2,0,3,2,0,0,32.89968895,-97.31380505,8,0,7030.7
1,1.0,3,1,3,1,1,2,1,3,29.5779174,-95.39052546,9,0,1639.7
1,1.0,2,2,1,2,1,2,1,2,30.51299185,-98.30393937,9,0,2944.1
1,1.0,2,3,2,1,1,2,1,2,29.7704705,-94.9801919,7,0,1980.5
1,1.0,4,2,2,3,2,2,2,2,29.59076535,-98.59035775,1,0,1506.1
1,1.0,2,2,0,2,1,2,1,0,29.69390355,-96.78811428,5,0,7003.2
0,1.0,0,0,0,0,0,0,0,0,33.21711275,-97.59380921,5,0,2604.4
1,1.0,4,2,3,3,3,3,2,3,30.001727,-95.56100013,8,0,1639.7
1,1.0,3,1,1,2,1,2,1,2,13.5256139,144.8226633,7,0,3184.7
1,1.0,3,1,3,3,1,2,1,2,14.6969557,121.0881834,7,0,5291.9
0,1.0,3,3,3,2,2,2,2,2,33.1766237,-97.08737695,7,0,1854.2
1,1.0,3,0,2,0,1,2,1,2,31.5327332,-96.53127601,2,0,3314.5
1,1.0,3,2,2,3,2,2,1,3,30.87059285,-100.5918139,1,0,1562.3
1,1.0,3,2,3,2,1,2,2,2,30.49868225,-99.78061638,8,0,1512.3
1,1.0,2,3,3,1,1,1,1,1,30.91483125,-101.9068816,7,0,1280.0
1,1.0,2,2,1,2,1,2,1,0,32.96879675,-102.8354917,8,0,1980.5
1,1.0,2,2,2,2,1,2,1,2,31.11414215,-102.2108505,9,0,2464.0
1,1.0,2,1,1,1,1,2,1,3,31.7501443,-99.96276816,7,0,2172.6
1,1.0,3,3,2,2,2,2,2,2,29.5874691,-96.34512755,8,0,1543.6
1,1.0,2,2,2,2,1,2,1,2,31.84953685,-103.0904383,9,0,1373.7
1,1.0,4,2,0,3,3,2,2,2,31.94941415,-99.9592988,8,0,745.6
1,1.0,1,3,1,2,1,2,1,3,28.30656555,-97.28012656,9,0,1413.5
1,1.0,3,2,2,2,3,3,0,0,30.56362245,-100.6346599,9,0,1867.1
1,1.0,5,2,2,3,3,2,2,3,31.2214206,-99.84817888,9,0,1340.2
1,1.0,3,2,3,3,1,2,1,2,29.8197397,-94.37638324,8,0,1014.5
1,1.0,3,2,2,3,3,2,1,1,38.2818777,-104.6126323,7,0,2450.2
1,1.0,3,1,1,1,3,1,1,1,33.6535995,-97.38058428,9,0,2278.8
1,1.0,4,3,3,3,1,2,1,3,34.12708895,-101.4409232,9,0,1618.1
1,1.0,3,2,2,2,1,2,1,2,31.0489426,-104.8271757,7,0,1666.6
1,1.0,4,2,3,3,2,2,2,2,33.1899611,-99.17618638,8,0,1364.0
1,1.0,3,2,0,2,0,2,2,0,35.19864075,-100.2482083,8,0,1369.9
1,1.0,3,2,2,2,1,2,1,2,33.1572698,-99.74442534,7,0,3522.5
1,1.0,3,2,3,2,1,2,2,2,34.01821945,-98.92474468,5,0,2984.5
1,1.0,3,2,3,1,2,2,2,2,36.19036795,-101.1992727,1,0,1131.0
1,1.0,4,2,2,3,3,2,2,2,33.660742,-101.2461202,9,0,1658.9
1,1.0,3,2,3,1,2,2,1,0,29.3074652,-97.12959926,5,0,607.5
1,1.0,2,2,2,2,1,2,2,0,31.11730645,-99.34696436,1,0,2879.8
0,1.0,4,1,3,2,3,2,1,3,34.53618985,-101.7558928,5,0,2147.6
1,1.0,4,1,3,2,3,2,2,1,34.5561389,-102.3158769,9,0,1381.7
1,1.0,3,2,2,3,1,2,1,1,33.16756305,-101.8160616,7,0,140.5
1,1.0,3,1,1,3,1,2,1,2,34.2965311,-99.74161696,9,0,2665.3
1,1.0,1,2,1,1,1,1,1,2,39.0880676,-94.5669407,2,0,7030.7
1,1.0,3,2,2,2,2,2,1,2,34.84878215,-100.2119851,9,0,2516.9
